"parent","command","UIC","echelon"
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","57020",3
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","EMORY S LAND (SUBMARINE TENDER) AS 39","20635",4
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","FRANK CABLE AS 40","20865",4
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","SUBMARINE SQUADRON 1","55346",4
"SUBMARINE SQUADRON 1","CHARLOTTE SSN 766","21763",5
"SUBMARINE SQUADRON 1","GREENEVILLE SSN 772","21831",5
"SUBMARINE SQUADRON 1","HAWAII SSN 776","23159",5
"SUBMARINE SQUADRON 1","NORTH CAROLINA SSN 777","23190",5
"SUBMARINE SQUADRON 1","MISSISSIPPI SSN 782","20080",5
"SUBMARINE SQUADRON 1","ILLINOIS SSN 786","20181",5
"SUBMARINE SQUADRON 1","MISSOURI SSN 780","20002",5
"SUBMARINE SQUADRON 1","OREGON SSN 793)","27155",5
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","SUBMARINE DEVELOPMENT SQUADRON (SUBDEVRON) 5","55522",4
"SUBMARINE DEVELOPMENT SQUADRON (SUBDEVRON) 5","UUVRON ONE","4000Y",5
"SUBMARINE DEVELOPMENT SQUADRON (SUBDEVRON) 5","JIMMY CARTER SSN 23","41718",5
"SUBMARINE DEVELOPMENT SQUADRON (SUBDEVRON) 5","CONNECTICUT SSN 22","21859",5
"SUBMARINE DEVELOPMENT SQUADRON (SUBDEVRON) 5","SEAWOLF SSN 21","21834",5
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","SUBMARINE SQUADRON 7","53896",4
"SUBMARINE SQUADRON 7","COLUMBUS SSN 762","21692",5
"SUBMARINE SQUADRON 7","TUCSON SSN 770","21816",5
"SUBMARINE SQUADRON 7","COLUMBIA SSN 771","21817",5
"SUBMARINE SQUADRON 7","CHEYENNE SSN 773","21832",5
"SUBMARINE SQUADRON 7","JEFFERSON CITY SSN 759","21605",5
"SUBMARINE SQUADRON 7","CHICAGO SSN 721","21100",5
"SUBMARINE SQUADRON 7","SPRINGFIELD SSN 761","21691",5
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","SUBMARINE SQUADRON 11","55244",4
"SUBMARINE SQUADRON 11","ARCO ARDM 5","20036",5
"SUBMARINE SQUADRON 11","UNDERSEA RESCUE COMMAND SAN DIEGO","32117",5
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","SUBMARINE SQUADRON 15","43709",4
"SUBMARINE SQUADRON 15","KEY WEST SSN 722","21101",5
"SUBMARINE SQUADRON 15","OKLAHOMA CITY SSN 723","21102",5
"SUBMARINE SQUADRON 15","TOPEKA SSN 754","21463",5
"SUBMARINE SQUADRON 15","ASHEVILLE SSN 758","21466",5
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","SUBMARINE GROUP 7","33174",4
"SUBMARINE GROUP 7","SUBMARINE SQUADRON 21","42897",5
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","SUBMARINE GROUP 9","53885",4
"SUBMARINE GROUP 9","NAVSUBSUPPCEN BANGOR WA","61106",5
"SUBMARINE GROUP 9","SUBMARINE SQUADRON 19","4280A",5
"SUBMARINE SQUADRON 19","OHIO SSGN 726","21036",6
"SUBMARINE SQUADRON 19","MICHIGAN SSGN 727","21037",6
"SUBMARINE SQUADRON 19","LOUISIANA SSBN 743","21861",6
"SUBMARINE SQUADRON 19","PROVIDENCE SSN 719","21029",6
"SUBMARINE GROUP 9","SUBMARINE SQUADRON 17","53886",5
"SUBMARINE SQUADRON 17","HENRY M JACKSON SSBN 730","21040",6
"SUBMARINE SQUADRON 17","ALABAMA SSBN 731","21041",6
"SUBMARINE SQUADRON 17","NEVADA SSBN 733","21043",6
"SUBMARINE SQUADRON 17","PENNSYLVANIA SSBN 735","21045",6
"SUBMARINE SQUADRON 17","MAINE SSBN 741","21826",6
"SUBMARINE SQUADRON 17","KENTUCKY SSBN 737","21433",6
"SUBMARINE SQUADRON 17","NEBRASKA SSBN 739","21461",6
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","COMMANDER, UNDERSEA SURVEILLANCE (COMUNDERSEASURV) DAM NECK VA","62853",4
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","NAVSUBSUPPCEN PEARL HARBOR HI","44429",4
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","NAVY DATA CENTER YOKOSUKA","32806",4
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","PRIORITY MATERIAL OFFICE (MATOFF) BREMERTON","00441",4
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","COMSUBPAC REP WEST COAST","42474",4
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","COMSUBPAC SHIPYARD REP PUGET SOUND","33057",4
"COMMANDER, SUBMARINE FORCE U.S.PACIFIC FLEET (COMSUBPAC)","COMSUBPAC SHIPYARD REP PACNORTHWEST","53885",4
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","COMMANDER, U.S. THIRD FLEET","57087",3
"COMMANDER, U.S. THIRD FLEET","COMMANDER CARRIER STRIKE GROUP (COMCARSTRKGRU) FIFTEEN","09721",4
"COMMANDER CARRIER STRIKE GROUP (COMCARSTRKGRU) FIFTEEN","COMMANDING OFFICER, TACTICAL TRAINING GROUP PACIFIC (TACTRAGRUPAC)","53996",5
"COMMANDER, U.S. THIRD FLEET","COMCARSTRKGRU ONE","57098",4
"COMMANDER, U.S. THIRD FLEET","COMCARSTRKGRU THREE","09722",4
"COMMANDER, U.S. THIRD FLEET","COMCARSTRKGRU SEVEN","09724",4
"COMMANDER, U.S. THIRD FLEET","COMCARSTRKGRU NINE","55780",4
"COMMANDER, U.S. THIRD FLEET","COMCARSTRKGRU ELEVEN","55775",4
"COMMANDER, U.S. THIRD FLEET","COMEXSTRKGRU THREE","52739",4
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","COMMANDER, U.S. SEVENTH FLEET","57024",3
"COMMANDER, U.S. SEVENTH FLEET","COMCARSTRKGRU FIVE","09723",4
"COMMANDER, U.S. SEVENTH FLEET","COMEXSTRKGRU SEVEN","55308",4
"COMMANDER, U.S. SEVENTH FLEET","PATROL AND RECONNAISSANCE WING ONE","09451",4
"COMMANDER, U.S. SEVENTH FLEET","FLEET COORDINATION GROUP","30247",4
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","U.S. NAVAL FORCES JAPAN","57006",3
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","U.S. NAVAL FORCES KOREA (COMNAVFORKOREA)","62894",3
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","U.S. NAVAL FORCES MARIANAS (COMNAVMARIANAS)","57043",3
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","LOGISTIC GROUP WESTPAC","55341",3
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","NAVY EXPEDITIONARY COMBAT COMMAND PACIFIC","57046",3
"NAVY EXPEDITIONARY COMBAT COMMAND PACIFIC","NAVY EXPEDITIONARY FORCES COMMAND PACIFIC","33710",4
"NAVY EXPEDITIONARY COMBAT COMMAND PACIFIC","NCG ONE","55752",4
"NCG ONE","NMCB 3","55103",5
"NCG ONE","NMCB 4","55114",5
"NCG ONE","NMCB 5","55115",5
"NCG ONE","UCT TWO","35233",5
"NCG ONE","CBMU 303","55644",5
"NCG ONE","FIRST NCR","81381",5
"FIRST NCR","NMCB 18","08917",6
"FIRST NCR","NMCB 22","55531",6
"FIRST NCR","NMCB 25","08865",6
"NCG ONE","THREE ZERO NCR","55611",5
"NAVY EXPEDITIONARY COMBAT COMMAND PACIFIC","MARITIME EXPEDITIONARY SECURITY GROUP (MESG) ONE","57092",4
"MARITIME EXPEDITIONARY SECURITY GROUP (MESG) ONE","MSRON ONE","30682",5
"MARITIME EXPEDITIONARY SECURITY GROUP (MESG) ONE","MSRON THREE","3349A",5
"MSRON THREE","MSRON THREE MK VI CO ALPHA","36070",6
"MSRON THREE MK VI CO ALPHA","MSRON THREE MK VI CO ALPHA BOAT CREW 1","36072",7
"MSRON THREE MK VI CO ALPHA","MSRON THREE MK VI CO ALPHA BOAT CREW 2","36073",7
"MSRON THREE MK VI CO ALPHA","MSRPN THREE MK VI CO ALPHA BOAT CREW 3","36074",7
"MSRON THREE","MSRON THREE MK VI CO BRAVO","36071",6
"MSRON THREE MK VI CO BRAVO","MSRON THREE MK VI CO BRAVO BOAT CREW 1","36075",7
"MSRON THREE MK VI CO BRAVO","MSRPM THREE MK VI CO BRAVO BOAT CREW 2","36076",7
"MSRON THREE MK VI CO BRAVO","MSRON THREE MK VI CO BRAVO BOAT CREW 3","36077",7
"MARITIME EXPEDITIONARY SECURITY GROUP (MESG) ONE","MSRON ELEVEN","55823",5
"NAVY EXPEDITIONARY COMBAT COMMAND PACIFIC","EXPLOSIVE ORDNANCE DISPOSAL GROUP ONE","55321",4
"EXPLOSIVE ORDNANCE DISPOSAL GROUP ONE","EODMU ONE","31968",5
"EXPLOSIVE ORDNANCE DISPOSAL GROUP ONE","EODESU ONE","82630",5
"EXPLOSIVE ORDNANCE DISPOSAL GROUP ONE","EOD TRAINING AND EVALUATION UNIT ONE","30202",5
"EXPLOSIVE ORDNANCE DISPOSAL GROUP ONE","EODMU THREE","55447",5
"EXPLOSIVE ORDNANCE DISPOSAL GROUP ONE","EODMU FIVE","30215",5
"EXPLOSIVE ORDNANCE DISPOSAL GROUP ONE","EODMU ELEVEN","55569",5
"EXPLOSIVE ORDNANCE DISPOSAL GROUP ONE","MOBILE DIVING AND SALVAGE UNIT ONE","55550",5
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","NAVY MUNITIONS COMMAND PACIFIC (NMCPAC) EAST ASIA DIVISION (EAD)","40629",3
"NAVY MUNITIONS COMMAND PACIFIC (NMCPAC) EAST ASIA DIVISION (EAD)","NMCPAC EAD UNIT PEARL HARBOR)","68297",4
"NAVY MUNITIONS COMMAND PACIFIC (NMCPAC) EAST ASIA DIVISION (EAD)","NMCPAC EAD UNIT SASEBO","62735",4
"NAVY MUNITIONS COMMAND PACIFIC (NMCPAC) EAST ASIA DIVISION (EAD)","NMCPAC EAD UNIT YOKOSUKA","61581",4
"NAVY MUNITIONS COMMAND PACIFIC (NMCPAC) EAST ASIA DIVISION (EAD)","NMCPAC EAD UNIT GUAM","61055",4
"NAVY MUNITIONS COMMAND PACIFIC (NMCPAC) EAST ASIA DIVISION (EAD)","NMCPAC EAD UNIT OKINAWA","62254",4
"NAVY MUNITIONS COMMAND PACIFIC (NMCPAC) EAST ASIA DIVISION (EAD)","NMCPAC EAD UNIT MISAWA","61584",4
"COMMANDER, U.S. PACIFIC FLEET (COMPACFLT)","NMCPAC CONUS WEST DIVISION (CWD)","40628",3
"NMCPAC CONUS WEST DIVISION (CWD)","NMCPAC CWD UNIT INDIAN ISLAND","48537",4
"NMCPAC CONUS WEST DIVISION (CWD)","NMCPAC CWD UNIT SEAL BEACH","47615",4
